產品名,分數,產品圖片,品牌,分類,評論1,評論2,評論3,評論4,評論5,評論6,評論7,評論8,評論9,評論10
三色修容餅  Triple Contour Palette,5.4,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/98333/1/_250x250_98333_20200924053408nfbUvzjvCk.png,heme,修容餅, Heme三色修容盤  已經購入一陣子啦～  用到鐵皮君出沒😆  色號：01 NATIONAL CONTOUR  其實我本來是要買另色，但架上當時剩這色⋯ 霧黑外觀～我好喜歡啊啊啊🖤圓形平面盒子～我也好喜歡啊🖤  平面很好放👏👏  沒錯我就是那種會被外觀吸引過去的女子😆淡金logo也豪好看～～  容易,獲得超多美妝YouTuber 推薦的 heme三色修容餅 以前化妝沒那麼注重修容 都隨便刷刷下顎線了事 後來胖了以後開始想找回下巴（淚）  看一下介紹: 共推出二色00 Fair及01 Natural，可依照皮膚冷暖色調挑選，較冷調或白皙肌膚可選擇00 Fair，較暖調及自然肌膚可使用01 Natur,這款修容上市前 我一直都是使用 too cool for school 的修容餅 不得不說heme真的是便宜又好用[但容量比較小，很容易用完一顆] 顏色也是適合白肌的冷灰色 可以製造出自然的陰影 整個修修臉，小小臉  畢竟too cool for school 的修容餅有點太偏橘了  是台灣品牌又便宜,"以前沒有使用修容的習慣,後來開始上課學習彩妝以後 經過老師的說明,還有一些美妝YT的影片後 開始覺得,修容可以讓妝容更加的精緻 輪廓也變得更加立體,雖然不是必需的 但是偶爾出席一些場合或者聚會,確實可以增加 妝容的精緻度~☺️☺️☺️  幾個月以來有試過很多家品牌的修容 包括韓國品牌,台灣品牌 我都是", 這塊修容餅粉質綿密是屬於沒那麼顯色的，但就是因為不太顯色的特性，很適合修容或製造眼窩及鼻影效果，實際顏色會比照片再略微冷色調 ⬇️ 顏色上手差異不大 ⬇️ 用手指試色在手上會有點卡卡的，但如果是用刷具上色是不會的，想要入手開架修容的話這一盤算是蠻不錯的～ ,官網表示: 首次推出「三色修容餅」，精選冷暖兩大色調，特調三色色塊圓型均分，可任意沾取混色，由深至淺搭配混刷也不失手，少量多次疊出零界線自然立體小臉，可均勻暈染於雙頰、顴骨下方及髮際線，不必再靠濾鏡就能擁有完美輪廓！  使用方法： Step 1. 首先挑選符合自身肌膚色調的三色修容餅，00 Fair為,在IG上抽獎抽到的 顏色還不錯 可惜用沒兩次就不小心摔碎了QQ 沒辦法提供太多心得 只能挖IG開箱時的刷色 有附上跟BENEFIT的HOLA以及CT雙色盤的對比 希望對於挑選的人會有幫助,首先要先說他的價格，購入價格是299真的cp很高，對於之前沒用過修容的我也很容易上手，我是用00色號，以前覺得沒必要修容🤣但第一次用真的感覺妝容更精緻了，重點臉真的變小，朋友也問我是不是變瘦😚粉質也很細緻，但是隨產品附上的黑色袋子不知道要幹嘛？還要再幫他另尋用途了 ,買了00號冷色調 最淺色用作眼窩打底 中間色打鼻影兩側 中間跟最深色混刷打在下顎線 覺得很自然 可以慢慢疊加 不容易失手 很適合修容新手!,NONE
珠光修容霜,5.9,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/90476/1/_250x250_90476_20210115040119KWucnMFSir.jpg,CEZANNE,其它修容, 絕對必買必買必買！ 完全是開架最美打亮 甚至打趴超多專櫃了 在日本買一顆只要600日圓..... 等於不到200台幣啊啊啊啊啊啊 真的不需要考慮麻煩請直接結帳😊   01號很適合膚色偏白的人 真的超級閃卻又不厚粉 有水光感的感覺啊(⁎⁍̴̛ᴗ⁍̴̛⁎) 不敢相信這價格有這樣高品質 連附的刷子意外的都,  我記得我是被YOUTUBER~Catie燒到的  過年前一直想要買彩妝，為了這塊打亮，我跑了很多家店  屈臣氏、日藥本舖都跑了，皇天不負苦心人，我有買到       來看刷色      超亮的~~我挺喜歡這種的打亮  來看妝效              這是目前開架中難得遇到那麼閃的打亮，我目前遇,愛牌cezanne 當家打亮產品 腦粉我怎麼可能沒有呢？？ 不過這是手上極少數的打亮 原因大概是油肌爆汗人 上了打亮也常常消失 加上比較偏好霧面妝感外 之前也很迷戀珠光腮紅 直接就帶有提亮顴骨效果 所以打亮一直不是我熱衷的品項 還有一點是這顆真的已經夠優秀~ 沒有什麼讓我買其他新品的動力XD  不用我, 去年2019在日本跑了三四家藥妝店，才買的到的[CEZANNE] 珠光修容霜01 小小一盒的，非常的輕巧可愛，固定出現在我的化妝包裡面 有一小部份的壓紋快被我用到看不見了  價格非常的親民，CP值高 連附上的刷子，都非常的柔軟，蓬鬆、札實 用在於臉頰，非常的舒服呢!!完全不扎皮膚  試上手背上 粉質,在屈臣氏購入02號。 CP值超高，質地綿密濕潤， 附了一支小刷子，但我習慣用眼影刷取粉。  +++++++++++++++++++++++++++++++++  使用霧面底妝時，臉看起來很平，無光采這時就沾取少許，點綴在腮紅頂端 馬上就能製造蘋果肌的效果  ++++++++++++++++++++++, Cezanne打亮大家一定都知道的吧！ 絕對是開架必收打亮啊～～ 但這次分享的不是熱門色01  是比較少討論到的02香檳粉   這個跟01的差別是他帶有粉色調 但也相對較自然一點 很適合新手 失手用太多也不會太突兀～～  如果是白皙膚色的人 這款可能只適合打亮臉頰 打亮在鼻子可能會看起來紅紅的像我照,最近很紅的一個開架打亮部落客大推價格再打折時購入也不貴感覺CP值超高 說到打亮我比較偏好歐美商品 因為它們真的很強~但這塊真的可以購入 我個人不愛太大塊的打亮產品 因為打亮修容要用完真的很難!! 萬一不好用 更痛苦 然後偏好粉狀打亮 這款的大小適中簡單 方便攜帶 它屬於比較高調的打亮 (但朋友認為太高,這款在剛上市的時候我剛好去了一趟日本，單純因為刷色的時候覺得是日系彩妝少見的高調打亮所以就買了 以日本價錢來說大概一百多塊台幣，非常便宜它其實是微偏白的香檳米色，很適合偏白或白肌使用，健康膚色的人可能會覺得有點太白 粉質不是特別細緻，但是服貼度很好，上起來粉感不會太重(我的手背太乾紋路比較明顯...), 打趴ㄧ堆專櫃打亮的神級品誕生 個人認為它比肌鑰的打亮還要好用    折扣後入手不到250元 亮粉很細 亮澤度沒有傳統日系的低調 也沒有歐美系那種誇張的油亮光澤 就是介在兩者之前 很好上手 不用怕上太多亮過頭   我覺得它不會有髒髒的錯覺 像肌鑰的打亮如果拿捏不好就會顯髒 Maybelline的也會 ,來，這塊打亮看到架上有就不要猶豫拿去結帳好嗎  這款打亮是目前我用過開架打亮最亮最喜歡的一個!! 粉質摸起來算細，有點點軟綿感， 光澤是珍珠光感的膚金色，上臉很貼合， 重點是刷個兩下就長這樣      是不是hen亮 (窗邊光拍攝，無修圖)  整體來說我很喜歡，裡面附的刷子不是廢刷，它非常好用， 打亮
神隱修容餅,4.4,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/90029/1/_250x250_90029_20191205090731YPkdvxXFfu.png,Solone,修容餅,  說真的修容這個產品真的是可遇不可求  市面上修容產品百百種  但不是顏色太灰紅 就是太黃暖   遇到這顆CP值超高的修容餅  真的很開心在開架摸到它啊！   Solone家的東西以前都沒好好用過  前陣子出一系列的眼彩也不合我的胃口   它家包裝真的簡陋的跟玩具一樣  但內容物確實有它實用之處  ,因為疫情關係沒有實體可以試色 所以就在網路上查查看大家刷色就購入了03 覺得還是偏灰一點 顯色度也偏好一些 需要抖抖餘粉才不會臉上灰一塊~ 本來想說那在入手一塊02好了 但看網路試色好像有點太不顯色 (買02的人好像也都買了03 都是兩顆混刷) (但不顯色的修容餅就是容易光速鐵片啊)  覺得最棒的修容, 和女神光打亮餅一起購入的 修容餅有三個色號  （官網試色和實品試色很接近）  （圖片取自官網）   主要想用來修鼻影 所以選偏冷色調03 一般偏黃肌修容選02會剛好 （當時買還缺貨哩！） 包裝都是單顆沒有外殼  只有簡單上下兩個塑膠殼保護 背面是磁吸式方便放入自組盤 他們家的鐵盒都不是我喜歡的風格 ,我第一個「真正」的修容！  其他我有的產品對我來說其實都是古銅，像nars的laguna ，顏色都太過紅了。不能達到產生陰影、瘦臉的效果，只能讓臉更有溫暖、太陽曬過的感覺。  不過這款來自 #Solone 的神隱修容餅1號色是灰色基底的色調，用來打鼻影和真正的陰影色一模一樣！很好暈染並且發色部分不會過,"本來想在過年前活動買下去，在蝦皮的官方買，結果當天折價卷門檻變高就沒下手,本來想直接買#2#3  這之後，在購物車裡一直考慮solone#3和heme 00,去藥妝店晃的時候看到特價就馬上買了 覺得質感很好，包裝是壓克力～有厚度的那種，雖然側面看不知道為什麼裡面有點刮痕，可以不用買外包裝，直接單個><",我買03。  這應該算是我的第一個打陰影的  以前有買過一塊，但是那時候還沒那麼流行打陰影，顏色也選得不對，還有討厭的亮片 所以很快就被我丟一旁了  但是這幾年滿流行打陰影的，再加上我的臉是真的很平坦，每次剛上完底妝，臉真的是過分的平  所以我就決定再一次試試打陰影的產品，有考慮到膏狀的打陰影，但是覺,有點不懂為什麼要加香味 買的是03 顏色非常的灰 不偏紅 顏色很自然顯色 但！小心會畫的髒！ 用來畫假臥蠶畫不好會很像黑眼圈 覺得修容似乎還是要一盤偏紅一盤偏灰會比較合適 ,修容對我來說非必要，所以不想買太貴的，ptt和dcard蠻多人推薦這款，但沒想到在urcosme評價似乎不是太好。  我是一般黃肌偏白，大家推薦02號適合修容，03適合打鼻影，我只想買一盒，到現場試色在手上，02小麥色比較剛好，03怕會真的上起來髒髒的。  現場試色時，也許是用手指沾抹，感覺滿顯色，顏, Solone一直都很平價 不管眼影還是唇彩表現也很好 逛藥妝店時 買了一塊修容來玩😹  顯色度真的較一般 偏自然。 修鼻影我覺得顏色對我來說太暖了 自己比較喜歡偏冷的修容（例如bbia薏米)  都是拿來修一下臉的輪廓.... 感覺一塊可以用很久...用到天荒地老🤣🤣&, 這是一個突然發現自己好像很黑的故事。(? solone這塊修容剛推出時也是一片好評，什麼深淺適中、顏色自然、持久不脫妝、媲美KA，等等。 於是當時突然發覺自己臉很大、正在尋覓修容的我就購入了。 但是！！ 不管我怎麼刷，發現他在我臉上根本看！不！出！來！ 先購入02，覺得很不顯色，後來又購入03，還是
光耀幻妍餅 Rehausseur d’eclat /Luminizing face enhancer,6.1,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/43724/1/_250x250_43724_w_250xh_250xfar_C.jpg,Clé de Peau Beauté 肌膚之鑰,修容餅,肌膚之鑰 cle de peau 2020限量 幻夢星湖光耀幻妍餅 #101號色 它出現 我就覺得 它超美 天使阿!  雖然我自己已經有光耀幻妍餅 14號 而且還用了兩個了 總而言之它就是我的蜜糖它的絨布套 我應該不會用 因為是 白色系 容易髒阿    下圖 光耀幻妍餅 14號 官方是說可當淡淡腮紅 ,"這是回櫃護膚順便帶的產品，我帶的是色號18，我發現每年也搭配周年慶推出限量色號以及限定包裝。  裡面有附鏡子官網介紹，  10g。  細膩亮肌彩粉,採用突破性聚光科技, 修飾輪廓,亮化肌膚。  提升肌膚自然美,為 容增添耀目光采。 質感豐盈,容易順滑掃開;光感躍動,令肌膚更添活力神采。  細節照片~~",很之前購入的幻妍餅，其實當初是覺得外殼很美而買的，不然平時我彩妝也不太會用打亮，紙盒忘記要一起拍照，已經被我丟掉了😅有附一個裝幻妍餅的袋子，外殼閃亮亮的非常美！開啟的地方有小小的肌鑰logo，讓人覺得非常精緻。色號是17號，購買那時剛推出的新色就是17，櫃姐有說17號色的前身就是11號色～下方有附之前, 超美的幻妍餅   外盒非常質感漂亮    不沾指紋 絨布套也很美  超美 美到每個顏色都想收藏  連塑膠保護膜 都是硬挺的 非常質感  完全沒有愧對他的價錢  刷子非常柔軟 完全不扎膚  除了價錢太昂貴  其他一切都很完美  試在手背上 覺得超閃的珠光   但使用在臉上不感覺顯毛孔    會想把其他,     四月份去日本的時候回程在關西機場經過肌膚之鑰專櫃  立馬被這塊號稱打亮屆的LV拖曳以移動光耀幻顏餅的#17給吸引住  試擦以後完全可以說是沒有考慮價格  立馬叫小姐包起來 XDDD  日本購入的金額是8000日幣免稅  說實在話和台灣還是有些微差價  換算成台幣其實也不算便宜  但是!!!!,早有耳聞肌鑰這款打亮有多厲害，礙於價格偏高遲遲沒有靠櫃 今年一月去日本時試用，只沾取一點點擦在鼻梁上 一開始並沒有感到有何特別之處，但隨著時間過去 漸漸融於皮膚之後散發出來的那道光實在是美到不行 於是忍不住入手了即將停產的01號，一個偏白的色號，膚色較深的話可能03比較適合    質感非常好的鏡面外盒, 我買的是最最熱賣的11號  在沒有入手這塊前其實我最愛的打亮是Laura Mercier家的 我喜歡曖曖內含光，而不是太誇張的打亮 像是歐美很多我都超不愛的!!!  其實會入手這塊是去拿缺貨的防曬 順手問了櫃姐可不可以試試看打亮 溫柔的櫃姐當然是用非常甜美的聲音告訴我：今天11號進了2塊，現在剩下1,自從開始接觸肌膚之鑰開始，就一直很想買他們家的打亮 完全被它夢幻的造型吸引 但因為價錢實在太高，我只能一直說服自己還用不到 這次完全藉著到日本玩的膽，狠心給他買下去 日本肌鑰櫃姐跟台灣的一樣，每個都超級親切 再搭配個中文翻譯，完全不用擔心溝通不良的問題 在日本買肌膚之鑰的確是便宜一些，但相較之下台灣專, (2020urcosme把草稿的照片都遺失了，我無語，留文字給大家分享一下吧， 這盤我因中間凹到讓四週裂開，其中的四角已被我頑皮的小童撸地報銷了...bye(揮淚)) 購入地點：中壢SOGO 容量/金額：10G/2600含盒 色號#13  入手日期：2016年11月週年慶~2018年7月目前終於被我," 似乎肌膚之鑰的幻妍餅應該是打亮控必收藏的打亮之一，所以愛打亮的我也來入手啦~（順便把我愛的迷你版nars也放一起比較）    這次入手肌鑰#16其實在它一上市時我就買了，剛買時非常滿足（就像是完成打亮界的一個目標XD）,但用了幾次後我發現它用起來有點太低調跟無感，就是一塊效果不怎麼明顯的打亮...."
星砂打亮餅 HIGHLIGHTER Z001 VICTORIA HARBOUR,4.2,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/98497/1/_250x250_98497_20201013042001LPurhgnJRO.jpg,ZENN.TH 茲恩,修容餅,ZENN.TH的彩妝討論度蠻高的 我自己爬資料的總結是 便宜品質好的泰國開架彩妝 其中打亮算是一個挺熱門的品項  打亮基本上評價都蠻不錯的 不過比較多人詬病的是 好像挺容易碎?! 我自己是有發現 它的包裝是有一點挺特別的 就是它有特別在粉體和蓋子間的空間放上算是緩衝的墊子 應該廠商也知道這打亮餅的缺點,色號001 #Victoria Harbour，它是偏淺的香檳金色，質地濕軟滑順、粉質細緻不飛粉，其呈現的妝感自然且與膚色很相襯。是我近期用到最喜歡、cp值很高的打亮產品👍🏻 使用感受⬇️ ▫️光澤很亮、在陽光下非常美 ▫️粉質地滑順、很好上手 ▫️✖️它本身具有亮片，雖然不是很粗糙大顆的那種，但如果,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
GLOW BEAM HIGHLIGHTER,3.9,https://dg9ugnb21lig7.cloudfront.net/uploads/images/product_default_250x250.png,3 Concept Eyes,修容餅,被幾位youtuber跟網友文章燒到，之前剛好有折扣就買來試看看。 這款它是氣墊打亮，很特別，使用上很方便， 膏體也很好取用，打亮上在臉上是很自然的亮度。我買的色號是 ＃𝑹𝑬𝑨𝑹 𝑺𝑰𝑫𝑬 膏體質地很濕潤油滑，軟軟的， 外包裝是塑膠，尺寸蠻小，攜帶方便⇡自然光(上）跟室內光（下）⇡氣墊材質有黏性，很好,看YOUTUBE整個被查理燒到 一直以來都追求光澤肌的妝感 用了很多打亮都讓我失望 因為都太不自然 不是粉感很重就是亮片很大很顯毛孔 我擁有大約5個打亮沒有一個讓我滿意 直到這個打亮的出現 讓我知道從肌膚亮出來的自然光澤是什麼   我選的色號是跟查理一樣的#REAR SIDE   打開裡面是有鏡子的 ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
金緻美肌粉 High Light Powder,5.5,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/63281/1/_250x250_63281.jpg,BOBBI BROWN 芭比波朗,修容餅,2020週年慶分享第二彈🛍🛍  本來今年沒打算再購入唇彩了，但因為週年慶前收到品牌寄來的200元折價卷簡訊，加上百貨買千送百、再加上BB這個唇彩組合裡面有贈送我一直很想要的金緻美肌粉...  所以就......😳  唇彩我買了照片那兩隻，之後如果有上嘴照再來更新、分享，  而本篇的主角就是我人生中第一, 閒閒的下午來去南西新光當街友 經過櫃位覺得這塊很美 真的覺得試用品不能亂摸阿！！！ 不摸沒事 一摸出事！！！ 而且櫃哥的服務態度又很好（對服務好的就是無法招架）  試在手上這光澤真是犯規！！！  近一點看這珠光真是精緻  這是謀日沒打亮的照 我的顴骨沒利用燈光的話會顯痘疤的 照出來的照片就沒有立體感,   續上一篇是BOBBI BROWN快捷粉妝條  上完了妝就要修容啦~~   這款產品是我要靠櫃前，剛好做功課的時候看到的  原來前幾年的聖誕彩妝就出過了  不過現在的包裝跟之前的不一樣了    共有兩個顏色  我選的是      說實話，他比我所想大好多喔，像是一塊粉餅似的那麼大    超美的，像,Hi大家～我是小麥🌼🌼🌼 Bobbi Brown精巧版金緻美肌粉#PinkGlow 雖然是第一次用Bobbi Brown的打亮 但真的是ㄧ用就愛上 完全不誇張 . 原本是使用開價的打亮 但是每次使用都會出現一個問題 就是！超級顯毛孔！！！ 這件事真的很NG～～～ 而且不持久 拔下口罩都快消失光澤 . ,這塊是在網路上不小心看到後 正個被大燒到 決定靠櫃去買   這個鋼琴鏡面盒子很美 不過很容易沾染油汙 所以用完之後我都會用濕紙巾擦過   這塊有兩個色號 一塊偏黃(忘記英文是什麼了XD 一塊偏粉 Pink Glow    因為光線問題看起來黃黃的 但其實這塊是Pink Glow    有看到那道曖曖內,趁著前天官網回饋18%入手心心念念的五花肉 買的是迷你五花肉因為覺得一定用不完😂 - 看了很多網友說買五花肉就像在賭石 越肥越好  但感覺我的肥瘦相間也是不錯  - 很細緻上臉有水光感 粉壓的很緊 用受受狼虞美人的打亮刷上臉看不到東西 要用紮實的刷子 - 話說 這個打亮的頁面很難找欸  從品牌找都沒看, 機場免稅店購入 入手的是#afternoon glow 實際使用感覺跟色號有點像，像午後被陽光曬過的膚金色光澤 非常美！ 這色號應該不怎麼挑膚色 更重要的是！完全不顯毛孔啊啊啊！     會很想一直擺動臉來欣賞這光澤😊 但因為非常顯色 除非想閃到眾人或是明顯歐美感妝容 否則使用上建議微量慢慢上喔,很自然、很細緻、很美的打亮！ 量不用多，用刷子輕上在臉上就可以有很美的光澤  細看有一點一點亮粉感 但不是大片的廉價亮片，不用擔心～  打在鼻子還有眼下澎潤度很棒！ 以前沒有用打亮的習慣 後來發現有用有差 臉的立體度有變好～（本身臉的五官很平😰）  這塊才剛買，用三次而已 就太喜歡來分享了哈哈哈😄  ,"超美夢幻逸品 ""BOBBI BROWN-金緻美肌粉"" 我買的是Pink Glow 不是限量的顏色喔! ! (現在還有)    打開時它的紋路就是這樣 看似有兩種打亮色mix在一起 呈現出來的花紋很美 : ) (請忽略我把外框用的有點髒~哈)    試色在手上 屬於蜜桃色調金屬光 擦在臉上是很自然的光澤",先自首吧這顆完全是衝著她的外盒跟壓紋很有質感才買的 (但當然網路上評價也算不賴) 實際使用後覺得他並非超級閃爍的那種高光 走的是細緻貴婦光澤 微微亮感不顯毛孔也沒有顆粒感 如果能再更亮一點我應該會更有愛 
神仙光影金緻美肌粉,3.5,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/101262/1/_250x250_101262_20210531034709xiVCBdhlfu.jpg,BOBBI BROWN 芭比波朗,修容餅,神仙光影系列真的好美！ 雖然宅在家哪也不能去， 但在官網看到就馬上下訂了！ 有兩個尺寸，我買了小的。好美啊！ 雖然真的猛一看真的蠻像五花肉的⋯⋯=__=粉質細緻，沒有粗亮片 淡淡的粉金色不同角度會有不同的閃亮程度好期待快點擺脫戴著口罩的日子 才能化美美的妝啊！,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
微整立體修容餅 Matte Radiance Baked Powder,5.9,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/53041/1/_250x250_53041_w_250xh_250xfar_C.jpg,LAURA MERCIER 蘿拉蜜思,修容餅,  這盤蘿拉蜜思的打亮盤已經紅好久啦， 之前看到好多youtuber介紹它， Catie和愛蜜是壓倒我的最後兩根稻草XD （Catie說是逃難也要帶的打亮啊）  之前觀望好久一直買不下手 因為它的價格有點高>_< 但是入手後覺得非常非常值得! 首先是它其實很大顆， 有7.5g～ 日常打亮的用量不多， ,  蘿拉微整立體修容餅是最愛的打亮沒有之一   包裝設計簡約俐落  整顆手掌勉強可握  外附上大面鏡子  出也會想帶它出門  它常常是我外出化妝包中眼影盤外最大的化妝品XD    它的粉質非常細  雖說現在開架打亮很多也是品質很好  但以細緻、持久來說我覺得都不及蘿拉    也因為它的粉質細  所以粉,觀看很久的蘿拉蜜思微整立體修容餅打亮終於入手了♥♥♥♥ 這顆打亮修容餅是很多部落客心目中前三名!  .我買的是迷你版的1.8g，其實也還是滿大一顆的~也用不完XD  顏色不是純白色，是膚金色，粉粉的，顏色很低調 就算多化幾層也不會太重!!!  大家都稱這塊打亮餅曖曖內含光，打在皮膚上面像是自然發光的感,  去年跟姐姐一起湊一組蘿拉週年慶6折組合 買了 喚顏凝露40ml 一般型 文章看這裡：https://www.urcosme.com/reviews/1112596  我的ride or die蘿拉蜜粉 文章看這裡：https://www.urcosme.com/reviews/1111896  還,補照片!!!!   這個產品算是網上評論相對比較少的打亮 學化妝也好幾年了 從一開始BB霜隨便亂塗 到慢慢開始想要更適合精緻 我也於買了一盤專櫃的打亮  這塊真的挺大的>//<   但之後一定還會想再買 我在網上爬文時看到有人說這盤很會飛粉 但我發現其實沾取時不要太大力地刷 飛粉的狀況倒是還好 我搭配,愈來愈注重立體妝感，現在化妝時一定要上打亮才安心~ 這塊“laura mercier 微整立體修容餅”風評超好的，二話不說買了XD  買的時候，櫃姐說這塊台灣只有一個色號， 同牌的新品打亮偏金屬光澤， 靠櫃試色後還是比較愛這塊微整立體修容餅的自然光澤~ 就帶回家了^^  這款打亮7.5G，很大顆感覺用,Laura Mercier（以下簡稱LM）這一顆為整立體修容餅真的是我用過最大塊的打亮，盒子打開來還有一面很大的鏡子，這簡直比我現役的粉餅盒子還豪華個五倍之有...      圖是想表現出LM這塊打亮餅的體積之雄偉，不得不拍一下好來膜拜他圓潤飽滿的弧面，是說我很懷疑我有生之年真的用得完他嗎？  旁邊是,這個打亮餅是被許多部落客燒的 許多部落客都說 這塊打亮修容餅粉質很細緻 微整立體修容餅 這塊是01 專門打亮的  我自己本身很喜歡 臉部有光澤感 那種光澤好像 自己好膚質發出的光澤度 我不喜歡臉部有太多的亮片 因為太多亮片 會顯毛孔 大家都推 所以就買來試試看  這塊微整立體修容 是我第三塊打亮的 老,在蝦皮購入大名鼎鼎的LM打亮餅 01號色價格是1000 真的超級不亮的  是微微亮的那種 用刷子刷也不覺得很亮，可以刷全臉也沒關係 因為真的不亮，是曖曖內含光 粉質對我來說比較乾，我只能用在夏天，冬天對我來說太乾了 那麼大的打亮餅 有7.5公克才1000 我覺得算便宜 不會回購因為很大顆 也不知道何年,   昨天去看The balm的高光，經過laura mercier看到之前一直很想去摸摸的微整立體修容餅。  就順便靠櫃摸摸，粉質很細，櫃姐幫我打在臉上時瞬間臉都亮了！(我明明有刷肌膚之鑰的高光！！)  我覺得亮粉是很細的那種卻非常明顯，低調又帶的注目。  正決定要包時，櫃姐說因為LAURA MER
3D調光盤 Hyper Real Glow,4.9,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/87252/1/_250x250_87252.jpg,M.A.C,修容餅,"雖然身邊有打亮的 但是總是嫌顔色過於自然 M.A.C. 出了3D調光盤時很吸引我 好像他們家的打亮產品還蠻顯色和出名的 它共出2種色盤 我買的是#Flash+Awe   還蠻大的一盤  顔色從左到右： 裸金 Flash + Awe，玫瑰金 Rosy Glow, 香檳金Light of the Part", 這盤之前被燒的七暈八素的😂😂  跑了兩間都賣完了  他們說是限量的  讓我心都涼了😭😭  結果在Carousell剛好看到有人賣  他是因為買了太多高光盤  想清出一些  全新品啊😍😍   嘿嘿！  來開箱  早上超興奮的😂😂   這盤有三個顏色  Flash+Aw/Rosy Gold/Light ,購入的是 #Flash + Awe（粉白色調） 為了讓臉上有高級的光澤感所以購入! 專櫃的打亮，光澤感、細緻度的珠光是開架無法相比的👍🏻 常使用在臉上的顏色是左邊跟中間的顏色 薄薄的使用，就有若隱若現的高級光澤 搭配MAC的貓掌刷，就很完美❤️  , 雖然打亮產品很多而且用不完 但就是很容易被那道光吸引   因為週年慶買太多了，禮卷還沒花完。 就拿來換mac的彩妝跟刷具 這盤3D調光盤有分兩種色號 一個比較偏咖啡色的這盤是偏粉色的 我用起來覺得每一格都差不多 所以我就沒有分外雙C或是臉頰還T字 我就隨心所欲的刷 搭配貓掌刷隨便刷幾下 臉部真的會有,今天去面試完想放鬆心情天氣也超熱就去南西店逛逛 恰好遇到MAC現場有活動就停留觀望  櫃哥先使用1.噴霧推開浮粉脫妝的粉底 再上2.妝前透亮持妝露 使用3.專業彩妝刷#170 用按壓方式來上4.超持妝無暇粉底液 其實到最後櫃哥用了一堆刷具眼花撩亂的 不過感覺刷毛上都很柔軟不會很粗很刺 另半邊櫃哥還讓我,  這盤打亮起初被部落客們給燒到，除了實用的三色(裸金/玫瑰金/香檳金)之外，那個光澤簡直是閃到外太空的那種程度💫，但它完全不太顯肌膚紋理((我的老天額👀，對於毛孔粗大的我來說簡直是福音💘💘 ,NONE,NONE,NONE,NONE
